iteration,vortex_area,omega_value,error,psi_min
1,0.008209357692605244,-609.0610480408056,0.07469530717425998,-0.6522245411267379
2,0.0540770845798749,-92.46060579716938,0.12421783035124245,-0.5739836897032837
3,0.15626754361292794,-31.996407471438314,0.11571029456678725,-0.47528632022644574
4,0.28149930637551135,-17.76203310899159,0.0650751508261163,-0.37124280401367116
5,0.37121103625091095,-13.469427122905833,0.030390530498092056,-0.30596791708058346
6,0.41508027392598723,-12.04586272604115,0.017540062264828658,-0.2721421498092266
7,0.43256010435514886,-11.559087279798701,0.013357012055771092,-0.25514385061494665
8,0.44004373212073594,-11.362507030615168,0.01157925403565231,-0.24407302011431758
9,0.4410179193815709,-11.337407801958213,0.009618293590459893,-0.23903200067383873
10,0.4401620354011968,-11.359453105587862,0.008565826565701524,-0.23581774103375477
11,0.4392965905752123,-11.381832017983637,0.008704302714221934,-0.2326119355633652
12,0.43658291796934845,-11.452578179778989,0.008150092994409771,-0.23130082452419026
13,0.43048571323458634,-11.614787311827302,0.007315267310915764,-0.2346513039974853
14,0.4312784129512052,-11.593439063609472,0.006857883454646355,-0.2334143918166384
15,0.4281033843488465,-11.67942180042584,0.008007706877194034,-0.23707758857638367
16,0.4282774237830517,-11.674675624584873,0.008447235991955442,-0.23993316355878572
17,0.42959974751140506,-11.638740546204021,0.008234941850214393,-0.24210244036361217
18,0.4292540175561417,-11.648114625615717,0.007176120332340786,-0.24455200780157643
19,0.42872145714704835,-11.662583984652386,0.008852021906756945,-0.24902922696790758
20,0.4316454725852384,-11.583580316628096,0.008216211591389338,-0.2504544099215899
21,0.43180684691430476,-11.579251315096183,0.008818868196187506,-0.2547707803345533
22,0.43776486743498216,-11.421656628812524,0.006796014817049123,-0.2533968849909476
23,0.4427368827849948,-11.293389357010351,0.0066357970208287265,-0.250936846826817
24,0.4467229525524368,-11.192619433211448,0.005856366583036568,-0.24759635406383979
25,0.44798678649805573,-11.161043474262605,0.005719251842311104,-0.24619526197140504
26,0.44975807196204814,-11.117087856117264,0.004909364896576693,-0.24427516728274803
27,0.4518988505396223,-11.064422921256362,0.004127322200221955,-0.24159499979183663
28,0.45168351317841166,-11.069697817429606,0.003792967489421086,-0.24030116315521852
29,0.4536809900752953,-11.020959902177461,0.004347304142943818,-0.23648001617275402
30,0.45230162940375385,-11.054569948357791,0.0031696682195552607,-0.23589144689530994
31,0.45219736331194066,-11.057118872563693,0.00273766294151479,-0.23470665298730253
32,0.4520985799990631,-11.05953484748915,0.002824963760240145,-0.23303308784657253
33,0.45217145738848363,-11.057752359862565,0.0028026291050533988,-0.23143738687865864
34,0.4511923478147103,-11.08174822604335,0.001633075964176316,-0.2312954344219611
35,0.4515289265000533,-11.073487669453687,0.0016145708360502718,-0.23049184484204177
36,0.45140271852833097,-11.076583712878525,0.00111711171689275,-0.22993253403279876
37,0.45076173362750654,-11.092334657075886,0.0017143743334099583,-0.22947360224582586
38,0.45071042417104157,-11.093597422771241,0.001733511705689239,-0.22825527821385602
39,0.453113703761242,-11.034757851055057,0.0017257540552337905,-0.2260796395698046
40,0.44855161137863914,-11.146989272053498,0.00310047236056717,-0.22974669112387566
41,0.4532970588750856,-11.030294377837212,0.002394547241274809,-0.22775704222941198
42,0.4531125210795272,-11.034786653186382,0.0021640802380122693,-0.228558650908649
43,0.45583100294708223,-10.968977466810115,0.0017782700725420411,-0.22736929341928597
44,0.4583557694939038,-10.908556917524523,0.001655114816701789,-0.22508723626555985
45,0.4588174816864078,-10.897579537776627,0.0020185750434364245,-0.2232432315480018
46,0.45600654098891386,-10.964754999252428,0.001157850420348363,-0.22442960344530333
47,0.45685336143659777,-10.94443080002138,0.002368516837823275,-0.2220758357771521
48,0.45451548073279996,-11.00072541410178,0.0006983038590041595,-0.22279389929321364
49,0.45260722734843756,-11.047105962695495,0.0010041371997705566,-0.2244588697762113
50,0.45362080966285834,-11.022422017446946,0.0006770239002354979,-0.2238432601865674
51,0.45310279096310774,-11.035023618751241,0.0010319520567864866,-0.22461951411778805
52,0.4548241572102657,-10.993259528403842,0.0008817854401986706,-0.22356872187716287
53,0.4548977530223256,-10.99148097958314,0.0008933228219364439,-0.22374171142352833
54,0.4573543322235144,-10.932442633027124,0.0011772752709002696,-0.22183467369835275
55,0.45684525982324803,-10.944624886628974,0.0008450613731892666,-0.2215542524314886
56,0.45537398506425325,-10.979986042229664,0.0007067183777774394,-0.22277090842958608
57,0.45671908960745866,-10.947648376811673,0.0005519937741635695,-0.22180787309687242
58,0.4552997621034033,-10.981775999400694,0.0005894594655963463,-0.2228420654570061
59,0.45547894936080124,-10.977455724390284,0.0001104630995743002,-0.2226734184969623
60,0.45547894936080124,-10.977455724390284,0.00030294842920868166,-0.22245995306854535
61,0.45476612570553027,-10.99466234923046,0.00033608201933829043,-0.22304071451090268
62,0.45476612570553027,-10.99466234923046,0.0007827817968269647,-0.22335393373562876
63,0.4553085028491338,-10.981565177702704,0.00025879009429861667,-0.22296735749328558
64,0.4553085028491338,-10.981565177702704,0.0,-0.22296735749328558
