iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.02336699522472986,-106.98850990281322,0.03392204247775453,-0.21307525828185447,0.1433917492534834
2,0.05431971892601238,-46.023802210854434,0.033774711114026176,-0.22216966105061042,0.10401702538122144
3,0.08696163875359239,-28.748308286643514,0.026733148027747556,-0.205201881969177,0.09135822384812935
4,0.11601792181056945,-21.548394946100863,0.017208674300072686,-0.18561544471031138,0.08456723458703452
5,0.13760011158281876,-18.16858991785991,0.010426905160416399,-0.17013308643409267,0.08035010197127429
6,0.150029845297453,-16.663351182182694,0.006264490756953092,-0.16075124570986396,0.07884664500162707
7,0.15877820385969557,-15.745234164565346,0.004429680874338598,-0.15344618271071248,0.07809111594366304
8,0.16279412769451634,-15.356819287064564,0.0033279112233636147,-0.1492895084290814,0.07807471029149081
9,0.16569503361933294,-15.087959761929191,0.002842796247022209,-0.1450931244994382,0.077950103055175
10,0.16752067929718562,-14.92353069775309,0.0023613294208519563,-0.14172791826979592,0.07797179086097443
11,0.16862075062172122,-14.826170508565852,0.001881557095969544,-0.13941888543689612,0.07812335754225114
12,0.16889960825727343,-14.80169211637198,0.0015127402809488656,-0.1379786833812508,0.0782846985516809
13,0.16997296697759617,-14.708221221610613,0.0012780304753149984,-0.13586835579630663,0.07821363255508923
14,0.17047353365137555,-14.665033019803468,0.0011150131370330982,-0.13430393894908227,0.0782918437986913
15,0.16955294061704232,-14.744657278735023,0.0008518962871610188,-0.13434157604219127,0.0786276014622418
16,0.16953164507601517,-14.746509413502368,0.0005372918862061393,-0.13393252872633984,0.07880013978795668
17,0.17027723673466014,-14.681938983398608,0.0006775776726030855,-0.13261662834074148,0.07865249450667873
18,0.17095705240854894,-14.623555827492638,0.0006951703063603792,-0.1312377664515901,0.07848628846068148
19,0.17082141269627782,-14.63516757378084,0.0006309505425708534,-0.13045333782385213,0.07845427115534961
20,0.17038951113474887,-14.67226464440601,0.0003290455516262303,-0.13039076327638716,0.07862537391582804
21,0.17015696233210598,-14.692316821691925,0.00017766590118238032,-0.130331273716906,0.07872542654804665
22,0.17019670747575405,-14.68888580207197,0.00023780554974916975,-0.13003526639080548,0.07877969271072319
23,0.16957984831725148,-14.742317703474873,0.00011924860288328986,-0.1304621614562261,0.07897506523359066
24,0.1694485044740524,-14.753744848676574,7.396180546855904e-05,-0.13054540687679173,0.07900865464498472
25,0.16920212781411342,-14.775227902254967,0.00011033169145421842,-0.13077350273870672,0.0790939586977309
26,0.16920212781411342,-14.775227902254967,9.8021437251392e-05,-0.1307169936110398,0.07908628682250972
27,0.16947059952868732,-14.751821300878857,0.00011298448261980088,-0.13047368200211565,0.0790365172295904
28,0.16947059952868732,-14.751821300878857,3.886744312277438e-05,-0.1304880215514252,0.07904019812542723
29,0.16947059952868732,-14.751821300878857,0.0,-0.1304880215514252,0.07904019812542723
